name,country,region,winery,rating,no_ratings,price,year,type
Selkirk Shiraz 2016,Australia,Langhorne Creek,Bremerton,3.9,128,18.03,2016,red
Finca San Martín Crianza 2016,Spain,Rioja,La Rioja Alta,3.6,128,10.91,2016,red
Edición Limitada A 2016,Chile,Colchagua Valley,Caliterra,4.1,128,16.5,2016,red
Crianza 2014,Spain,Toro,Muruve,3.6,128,10.93,2014,red
Chianti 2015,Italy,Chianti,Principe Strozzi,3.4,128,17.4,2015,red
Chianti 2018,Italy,Chianti,Castello di Gabbiano,3.5,128,8.25,2018,red
Spätburgunder 2017,Germany,Pfalz,Rings,3.6,128,11.5,2017,red
Prados Fusión Garnacha - Syrah 2018,Spain,Campo de Borja,Pagos del Moncayo,3.7,128,9.49,2018,red
Estate Red (Cabernet Sauvignon - Shiraz) 2016,South Africa,Stellenbosch,Kaapzicht,3.9,128,10.45,2016,red
Barrel Selection Merlot 2017,Argentina,Uco Valley,Salentein,4.0,128,13.43,2017,red
Tempranillo 2018,Spain,Castilla y León,Venta Morales,3.5,128,7.4,2018,red
Pinot Nero 2017,Italy,Südtirol - Alto Adige,Castel Sallegg,3.5,128,13.95,2017,red
Dedicato Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,3.9,128,15.55,2013,red
Tortoniano Barolo 2006,Italy,Barolo,Michele Chiarlo,3.9,128,29.19,2006,red
Iirrésistible Côtes de Provence 2015,France,Côtes de Provence,Domaine de la Croix,3.8,128,29.0,2015,red
Diamond Collection/Selection Shiraz 2019,Australia,South Eastern Australia,Rosemount,3.7,128,5.95,2019,red
Malleolus 2017,Spain,Ribera del Duero,Emilio Moro,4.3,1281,27.05,2017,red
No Name 2015,Italy,Piemonte,Borgogno,4.0,1285,25.55,2015,red
Blacksmith Cabernet Sauvignon 2017,Australia,Barossa,Langmeil,3.9,129,16.9,2017,red
Ocho y Medio Malbec 2018,Spain,La Mancha,Finca La Estacada,3.6,129,5.49,2018,red
Riscal Roble Tempranillo 2013,Spain,Castilla y León,Marqués de Riscal,3.4,129,6.39,2013,red
Pannobile Red 2015,Austria,Burgenland,Paul Achs,3.8,129,29.9,2015,red
Terra d'Eclano Aglianico Irpinia 2013,Italy,Irpinia,Quintodecimo,4.2,129,43.65,2013,red
Unico 2010,Spain,Ribera del Duero,Vega Sicilia,4.7,129,320.0,2010,red
Allnatt Rouge Souplesse 2018,France,Languedoc,Paul Mas,3.8,129,7.49,2018,red
Due Rosso 2017,Italy,Veneto,Giannitessari,4.0,129,9.5,2017,red
Saint-Émilion Grand Cru 2011,France,Saint-Émilion Grand Cru,Château Guinot,3.4,129,15.9,2011,red
Graves 2016,France,Graves,Château Haura,3.5,129,17.95,2016,red
Le Stanze Toscana 2011,Italy,Toscana,Poliziano,4.1,129,33.95,2011,red
Carmignano Riserva Trefiano 2012,Italy,Carmignano,Capezzana,4.0,129,34.58,2012,red
Pessac-Léognan (Grand Cru Classé de Graves) 2013,France,Pessac-Léognan,Château La Mission Haut-Brion,4.3,129,261.25,2013,red
Bordeaux Supérieur 2011,France,Bordeaux Supérieur,Château Lafite Monteil,3.5,129,9.95,2011,red
Coto Real Reserva 2005,Spain,Rioja,El Coto,3.8,129,29.19,2005,red
Liala Negroamaro 2018,Italy,Salento,Masseria Borgo dei Trulli,4.3,129,19.95,2018,red
Syrah 2017,South Africa,Franschhoek,La Motte Wine Estate,3.9,129,16.95,2017,red
Fetească Neagră 2017,Romania,Dealu Mare,Vitis Metamorfosis,3.8,129,7.5,2017,red
Conde de Valdemar Tempranillo 2018,Spain,Rioja,Bodegas Valdemar,3.5,129,5.99,2018,red
