name,country,region,winery,rating,no_ratings,price,year,type
Cava Brut Seleccin N.V.,Spain,Cava,Villa Conchi,3.7,5059,8.99,N.V.,sparkling
Petalo Moscato Il Vino Dell'Amore N.V.,Italy,Veneto,Bottega,3.9,5095,12.79,N.V.,sparkling
Prosecco Il Fresco Spumante N.V.,Italy,Prosecco di Treviso,Villa Sandi,3.6,5148,9.36,N.V.,sparkling
Ros Brut Champagne N.V.,France,Champagne,Deutz,4.1,5236,47.9,N.V.,sparkling
Trocken Dry-Sec N.V.,Germany,German Wine,Henkell,3.3,5677,7.89,N.V.,sparkling
Pinot Noir Brut Nature Champagne N.V.,France,Champagne,Drappier,4.1,5708,32.99,N.V.,sparkling
Rustico Valdobbiadene Prosecco Superiore N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Nino Franco,3.8,5865,12.5,N.V.,sparkling
Maximum Brut N.V.,Italy,Trento,Ferrari,3.8,5937,19.7,N.V.,sparkling
Mthode Cap Classique Pinot Noir - Chardonnay Brut N.V.,South Africa,Western Cape,Pongrcz,3.7,6078,13.9,N.V.,sparkling
Grand Sicle Champagne (Grande Cuve) N.V.,France,Champagne,Laurent-Perrier,4.5,6095,149.9,N.V.,sparkling
Brut Champagne N.V.,France,Champagne,Barons de Rothschild (Lafite),4.1,6170,44.29,N.V.,sparkling
Aimery Crmant de Limoux Grande Cuve 1531 N.V.,France,Crmant de Limoux,Sieur d'Arques,3.8,6245,10.85,N.V.,sparkling
Prosecco N.V.,Italy,Prosecco,Zonin,3.5,6293,5.75,N.V.,sparkling
Premire Cuve Brut Champagne N.V.,France,Champagne,Bruno Paillard,4.1,6392,39.95,N.V.,sparkling
Blue Top Brut Champagne N.V.,France,Champagne,Heidsieck & Co. Monopole,3.7,6481,29.79,N.V.,sparkling
Brut Champagne N.V.,France,Champagne,Montaudon,3.9,6569,19.99,N.V.,sparkling
Mosaque Brut Champagne N.V.,France,Champagne,Jacquart,3.8,6753,26.99,N.V.,sparkling
Valdobbiadene Prosecco Superiore N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Santa Margherita,3.7,6835,11.29,N.V.,sparkling
Cuve 18 Prosecco Frizzante (Spago Nero) N.V.,Italy,Prosecco,Riondo,3.9,6873,6.5,N.V.,sparkling
Prestige Collection Brut Prosecco Treviso N.V.,Italy,Prosecco di Treviso,Mionetto,3.6,7378,10.69,N.V.,sparkling
Grande Rserve Brut Champagne N.V.,France,Champagne,Gosset,4.1,7496,32.5,N.V.,sparkling
Blason Ros Brut Champagne N.V.,France,Champagne,Perrier-Jout,4.2,7569,55.0,N.V.,sparkling
Carte d'Or Brut Champagne N.V.,France,Champagne,Drappier,3.9,7787,29.79,N.V.,sparkling
Alma Gran Cuve Brut N.V.,Italy,Franciacorta,Bellavista,3.9,7950,25.25,N.V.,sparkling
Ros Brut Champagne N.V.,France,Champagne,Bollinger,4.2,8025,69.5,N.V.,sparkling
Brut Champagne 2008,France,Champagne,Dom Prignon,4.6,8349,170.59,2008,sparkling
Valdobbiadene Prosecco Superiore Millesimato Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Ca'Val,3.5,8371,13.95,N.V.,sparkling
Prosecco Superiore Conegliano Valdobbiadene Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Carpen Malvolti,3.7,8439,12.29,N.V.,sparkling
Prosecco N.V.,Italy,Prosecco,Ruffino,3.7,8695,16.54,N.V.,sparkling
Ros Brut Champagne (Vintage) N.V.,France,Champagne,Louis Roederer,4.2,8770,63.95,N.V.,sparkling
Cava Reserva Heredad Brut N.V.,Spain,Cava,Segura Viudas,3.9,10697,32.19,N.V.,sparkling
Ice Imprial (Demi-Sec) Champagne N.V.,France,Champagne,Mot & Chandon,4.2,10963,57.0,N.V.,sparkling
